ensembl_gene_id	geneSymbol	description	band
ENSG00000117262	GPR89A	G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984]	q21.1
ENSG00000117266	CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	q32.1
ENSG00000117280	RAB29	RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]	q32.1
ENSG00000117281	CD160	CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]	q21.1
ENSG00000117298	ECE1	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]	p36.12
ENSG00000117305	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	p36.11
ENSG00000117308	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	p36.11
ENSG00000117318	ID3	inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]	p36.12
ENSG00000117322	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	q32.2
ENSG00000117335	CD46	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	q32.2
ENSG00000117360	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	q21.2
ENSG00000117362	APH1A	aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]	q21.2
ENSG00000117385	P3H1	prolyl 3-hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:19316]	p34.2
ENSG00000117394	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	p34.2
ENSG00000117395	EBNA1BP2	EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531]	p34.2
ENSG00000117399	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	p34.2
ENSG00000117400	MPL	MPL proto-oncogene, thrombopoietin receptor [Source:HGNC Symbol;Acc:HGNC:7217]	p34.2
ENSG00000117407	ARTN	artemin [Source:HGNC Symbol;Acc:HGNC:727]	p34.1
ENSG00000117408	IPO13	importin 13 [Source:HGNC Symbol;Acc:HGNC:16853]	p34.1
ENSG00000117410	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	p34.1
ENSG00000117411	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	p34.1
ENSG00000117419	ERI3	ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:HGNC:17276]	p34.1
ENSG00000117425	PTCH2	patched 2 [Source:HGNC Symbol;Acc:HGNC:9586]	p34.1
ENSG00000117448	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	p34.1
ENSG00000117450	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	p34.1
ENSG00000117461	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	p34.1
ENSG00000117472	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	p34.1
ENSG00000117475	BLZF1	basic leucine zipper nuclear factor 1 [Source:HGNC Symbol;Acc:HGNC:1065]	q24.2
ENSG00000117477	CCDC181	coiled-coil domain containing 181 [Source:HGNC Symbol;Acc:HGNC:28051]	q24.2
ENSG00000117479	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	q24.2
ENSG00000117480	FAAH	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	p33
ENSG00000117481	NSUN4	NOP2/Sun RNA methyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:31802]	p33
ENSG00000117500	TMED5	transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]	p22.1
ENSG00000117501	MROH9	maestro heat like repeat family member 9 [Source:HGNC Symbol;Acc:HGNC:26287]	q24.3
ENSG00000117505	DR1	down-regulator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:3017]	p22.1
ENSG00000117507	FMO6P	flavin containing dimethylaniline monoxygenase 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:24024]	q24.3
ENSG00000117519	CNN3	calponin 3 [Source:HGNC Symbol;Acc:HGNC:2157]	p21.3
ENSG00000117523	PRRC2C	proline rich coiled-coil 2C [Source:HGNC Symbol;Acc:HGNC:24903]	q24.3
ENSG00000117525	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	p21.3
ENSG00000117528	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	p21.3
ENSG00000117533	VAMP4	vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]	q24.3
ENSG00000117543	DPH5	diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]	p21.2
ENSG00000117560	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	q24.3
ENSG00000117569	PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	p21.3
ENSG00000117586	TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	q25.1
ENSG00000117592	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	q25.1
ENSG00000117593	DARS2	aspartyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25538]	q25.1
ENSG00000117594	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	q32.2
ENSG00000117595	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	q32.2
ENSG00000117597	UTP25	UTP25 small subunit processor component [Source:HGNC Symbol;Acc:HGNC:28440]	q32.2
ENSG00000117598	PLPPR5	phospholipid phosphatase related 5 [Source:HGNC Symbol;Acc:HGNC:31703]	p21.3
ENSG00000117600	PLPPR4	phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]	p21.3
ENSG00000117601	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	q25.1
ENSG00000117602	RCAN3	RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]	p36.11
ENSG00000117614	SYF2	SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]	p36.11
ENSG00000117616	RSRP1	arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]	p36.11
ENSG00000117620	SLC35A3	solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]	p21.2
ENSG00000117625	RCOR3	REST corepressor 3 [Source:HGNC Symbol;Acc:HGNC:25594]	q32.2
ENSG00000117632	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	p36.11
ENSG00000117640	MTFR1L	mitochondrial fission regulator 1 like [Source:HGNC Symbol;Acc:HGNC:28836]	p36.11
ENSG00000117643	MAN1C1	mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]	p36.11
ENSG00000117650	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	q32.3
ENSG00000117676	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	p36.11
ENSG00000117682	DHDDS	dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603]	p36.11
ENSG00000117691	NENF	neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384]	q32.3
ENSG00000117697	NSL1	NSL1 component of MIS12 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24548]	q32.3
ENSG00000117707	PROX1	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	q32.3
ENSG00000117713	ARID1A	AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]	p36.11
ENSG00000117724	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	q41
ENSG00000117748	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	p35.3
ENSG00000117751	PPP1R8	protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296]	p35.3
ENSG00000117758	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]	p35.3
ENSG00000117791	MTARC2	mitochondrial amidoxime reducing component 2 [Source:HGNC Symbol;Acc:HGNC:26064]	q41
ENSG00000117834	SLC5A9	solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]	p33
ENSG00000117859	OSBPL9	oxysterol binding protein like 9 [Source:HGNC Symbol;Acc:HGNC:16386]	p32.3
ENSG00000117862	TXNDC12	thioredoxin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:24626]	p32.3
ENSG00000118004	COLEC11	collectin subfamily member 11 [Source:HGNC Symbol;Acc:HGNC:17213]	p25.3
ENSG00000118193	KIF14	kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]	q32.1
ENSG00000118194	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	q32.1
ENSG00000118197	DDX59	DEAD-box helicase 59 [Source:HGNC Symbol;Acc:HGNC:25360]	q32.1
ENSG00000118200	CAMSAP2	calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]	q32.1
ENSG00000118217	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	q23.3
ENSG00000118292	C1orf54	chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]	q21.2
ENSG00000118298	CA14	carbonic anhydrase 14 [Source:HGNC Symbol;Acc:HGNC:1372]	q21.2
ENSG00000118454	ANKRD13C	ankyrin repeat domain 13C [Source:HGNC Symbol;Acc:HGNC:25374]	p31.1
ENSG00000118473	SGIP1	SH3GL interacting endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:25412]	p31.3
ENSG00000118640	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	p11.2
ENSG00000118655	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	p13.2
ENSG00000118729	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	p13.1
ENSG00000118733	OLFM3	olfactomedin 3 [Source:HGNC Symbol;Acc:HGNC:17990]	p21.1
ENSG00000118873	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:17168]	q41
ENSG00000118960	HS1BP3	HCLS1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24979]	p24.1
ENSG00000118961	LDAH	lipid droplet associated hydrolase [Source:HGNC Symbol;Acc:HGNC:26145]	p24.1
ENSG00000118965	WDR35	WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]	p24.1
ENSG00000119147	ECRG4	ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]	q12.2
ENSG00000119185	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	p25.1
ENSG00000119203	CPSF3	cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326]	p25.1
ENSG00000119280	C1orf198	chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]	q42.2
ENSG00000119283	TRIM67	tripartite motif containing 67 [Source:HGNC Symbol;Acc:HGNC:31859]	q42.2
ENSG00000119285	HEATR1	HEAT repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25517]	q43
ENSG00000119535	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	p34.3
ENSG00000119729	RHOQ	ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736]	p21
ENSG00000119737	GPR75	G protein-coupled receptor 75 [Source:HGNC Symbol;Acc:HGNC:4526]	p16.2
ENSG00000119760	SUPT7L	SPT7 like, STAGA complex subunit gamma [Source:HGNC Symbol;Acc:HGNC:30632]	p23.3
ENSG00000119771	KLHL29	kelch like family member 29 [Source:HGNC Symbol;Acc:HGNC:29404]	p24.1
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]	p23.3
ENSG00000119777	TMEM214	transmembrane protein 214 [Source:HGNC Symbol;Acc:HGNC:25983]	p23.3
ENSG00000119778	ATAD2B	ATPase family AAA domain containing 2B [Source:HGNC Symbol;Acc:HGNC:29230]	p23.3
ENSG00000119782	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	p23.3
ENSG00000119787	ATL2	atlastin GTPase 2 [Source:HGNC Symbol;Acc:HGNC:24047]	p22.1
ENSG00000119801	YPEL5	yippee like 5 [Source:HGNC Symbol;Acc:HGNC:18329]	p23.1
ENSG00000119812	FAM98A	family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]	p22.3
ENSG00000119820	YIPF4	Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145]	p22.3
ENSG00000119844	AFTPH	aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]	p14
ENSG00000119862	LGALSL	galectin like [Source:HGNC Symbol;Acc:HGNC:25012]	p14
ENSG00000119865	CNRIP1	cannabinoid receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24546]	p14
ENSG00000119866	BCL11A	BAF chromatin remodeling complex subunit BCL11A [Source:HGNC Symbol;Acc:HGNC:13221]	p16.1
ENSG00000119878	CRIPT	CXXC repeat containing interactor of PDZ3 domain [Source:HGNC Symbol;Acc:HGNC:14312]	p21
ENSG00000119888	EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	p21
ENSG00000120332	TNN	tenascin N [Source:HGNC Symbol;Acc:HGNC:22942]	q25.1
ENSG00000120333	MRPS14	mitochondrial ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:14049]	q25.1
ENSG00000120334	CENPL	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]	q25.1
ENSG00000120337	TNFSF18	TNF superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11932]	q25.1
ENSG00000120341	SEC16B	SEC16 homolog B, endoplasmic reticulum export factor [Source:HGNC Symbol;Acc:HGNC:30301]	q25.2
ENSG00000120370	GORAB	golgin, RAB6 interacting [Source:HGNC Symbol;Acc:HGNC:25676]	q24.2
ENSG00000120656	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	p35.3
ENSG00000120937	NPPB	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]	p36.22
ENSG00000120942	UBIAD1	UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]	p36.22
ENSG00000120948	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	p36.22
ENSG00000120949	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	p36.22
ENSG00000120952	PRAMEF2	PRAME family member 2 [Source:HGNC Symbol;Acc:HGNC:28841]	p36.21
ENSG00000121152	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	q11.2
ENSG00000121310	ECHDC2	enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408]	p32.3
ENSG00000121446	RGSL1	regulator of G protein signaling like 1 [Source:HGNC Symbol;Acc:HGNC:18636]	q25.3
ENSG00000121454	LHX4	LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]	q25.2
ENSG00000121481	RNF2	ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]	q25.3
ENSG00000121486	TRMT1L	tRNA methyltransferase 1 like [Source:HGNC Symbol;Acc:HGNC:16782]	q25.3
ENSG00000121634	GJA8	gap junction protein alpha 8 [Source:HGNC Symbol;Acc:HGNC:4281]	q21.2
ENSG00000121644	DESI2	desumoylating isopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24264]	q44
ENSG00000121753	ADGRB2	adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944]	p35.2
ENSG00000121764	HCRTR1	hypocretin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4848]	p35.2
ENSG00000121766	ZCCHC17	zinc finger CCHC-type containing 17 [Source:HGNC Symbol;Acc:HGNC:30246]	p35.2
ENSG00000121769	FABP3	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	p35.2
ENSG00000121774	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]	p35.2
ENSG00000121775	TMEM39B	transmembrane protein 39B [Source:HGNC Symbol;Acc:HGNC:25510]	p35.2
ENSG00000121851	POLR3GL	RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466]	q21.1
ENSG00000121900	TMEM54	transmembrane protein 54 [Source:HGNC Symbol;Acc:HGNC:24143]	p35.1
ENSG00000121903	ZSCAN20	zinc finger and SCAN domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13093]	p35.1
ENSG00000121904	CSMD2	CUB and Sushi multiple domains 2 [Source:HGNC Symbol;Acc:HGNC:19290]	p35.1
ENSG00000121905	HPCA	hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]	p35.1
ENSG00000121931	LRIF1	ligand dependent nuclear receptor interacting factor 1 [Source:HGNC Symbol;Acc:HGNC:30299]	p13.3
ENSG00000121933	TMIGD3	transmembrane and immunoglobulin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:51375]	p13.2
ENSG00000121940	CLCC1	chloride channel CLIC like 1 [Source:HGNC Symbol;Acc:HGNC:29675]	p13.3
ENSG00000121957	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	p13.3
ENSG00000121964	GTDC1	glycosyltransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20887]	q22.3
ENSG00000121966	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	q22.1
ENSG00000121988	ZRANB3	zinc finger RANBP2-type containing 3 [Source:HGNC Symbol;Acc:HGNC:25249]	q21.3
ENSG00000121989	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	q22.3
ENSG00000122176	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	q32.1
ENSG00000122180	MYOG	myogenin [Source:HGNC Symbol;Acc:HGNC:7612]	q32.1
ENSG00000122188	LAX1	lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26005]	q32.1
ENSG00000122218	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]	q23.2
ENSG00000122223	CD244	CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]	q23.3
ENSG00000122224	LY9	lymphocyte antigen 9 [Source:HGNC Symbol;Acc:HGNC:6730]	q23.3
ENSG00000122406	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	p22.1
ENSG00000122417	ODF2L	outer dense fiber of sperm tails 2 like [Source:HGNC Symbol;Acc:HGNC:29225]	p22.3
ENSG00000122420	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	p31.1
ENSG00000122435	TRMT13	tRNA methyltransferase 13 homolog [Source:HGNC Symbol;Acc:HGNC:25502]	p21.2
ENSG00000122477	LRRC39	leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]	p21.2
ENSG00000122481	RWDD3	RWD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21393]	p21.3
ENSG00000122482	ZNF644	zinc finger protein 644 [Source:HGNC Symbol;Acc:HGNC:29222]	p22.2
ENSG00000122483	CCDC18	coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:HGNC:30370]	p22.1
ENSG00000122484	RPAP2	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]	p22.1
ENSG00000123080	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	p32.3
ENSG00000123091	RNF11	ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]	p32.3
ENSG00000123472	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]	p33
ENSG00000123473	STIL	STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]	p33
ENSG00000123607	TTC21B	tetratricopeptide repeat domain 21B [Source:HGNC Symbol;Acc:HGNC:25660]	q24.3
ENSG00000123609	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	q23.3
ENSG00000123610	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	q23.3
ENSG00000123612	ACVR1C	activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]	q24.1
ENSG00000123636	BAZ2B	bromodomain adjacent to zinc finger domain 2B [Source:HGNC Symbol;Acc:HGNC:963]	q24.2
ENSG00000123684	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	q32.3
ENSG00000123685	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	q32.3
ENSG00000123689	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	q32.2
ENSG00000123836	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]	q32.1
ENSG00000123838	C4BPA	complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325]	q32.2
ENSG00000123843	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]	q32.1
ENSG00000124356	STAMBP	STAM binding protein [Source:HGNC Symbol;Acc:HGNC:16950]	p13.1
ENSG00000124357	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	p13.3
ENSG00000124370	MCEE	methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732]	p13.3
ENSG00000124374	PAIP2B	poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]	p13.3
ENSG00000124380	SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27 [Source:HGNC Symbol;Acc:HGNC:30240]	p13.3
ENSG00000124383	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	p13.3
ENSG00000125459	MSTO1	misato mitochondrial distribution and morphology regulator 1 [Source:HGNC Symbol;Acc:HGNC:29678]	q22
ENSG00000125462	MIR9-1HG	MIR9-1 host gene [Source:HGNC Symbol;Acc:HGNC:30780]	q22
ENSG00000125538	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	q14.1
ENSG00000125551	PLGLB2	plasminogen like B2 [Source:HGNC Symbol;Acc:HGNC:9073]	p11.2
ENSG00000125571	IL37	interleukin 37 [Source:HGNC Symbol;Acc:HGNC:15563]	q14.1
ENSG00000125611	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]	q14.1
ENSG00000125618	PAX8	paired box 8 [Source:HGNC Symbol;Acc:HGNC:8622]	q14.1
ENSG00000125629	INSIG2	insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452]	q14.1
ENSG00000125630	POLR1B	RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454]	q14.1
ENSG00000125633	CCDC93	coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:HGNC:25611]	q14.1
ENSG00000125637	PSD4	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]	q14.1
ENSG00000125703	ATG4C	autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]	p31.3
ENSG00000125944	HNRNPR	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]	p36.12
ENSG00000125945	ZNF436	zinc finger protein 436 [Source:HGNC Symbol;Acc:HGNC:20814]	p36.12
ENSG00000126067	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	p34.3
ENSG00000126070	AGO3	argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]	p34.3
ENSG00000126088	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	p34.1
ENSG00000126091	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]	p34.1
ENSG00000126106	TMEM53	transmembrane protein 53 [Source:HGNC Symbol;Acc:HGNC:26186]	p34.1
ENSG00000126107	HECTD3	HECT domain E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:26117]	p34.1
ENSG00000126698	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8 [Source:HGNC Symbol;Acc:HGNC:15470]	p35.3
ENSG00000126705	AHDC1	AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230]	p35.3
ENSG00000126709	IFI6	interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]	p35.3
ENSG00000127054	INTS11	integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]	p36.33
ENSG00000127074	RGS13	regulator of G protein signaling 13 [Source:HGNC Symbol;Acc:HGNC:9995]	q31.2
ENSG00000127124	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	p34.2
ENSG00000127125	PPCS	phosphopantothenoylcysteine synthetase [Source:HGNC Symbol;Acc:HGNC:25686]	p34.2
ENSG00000127129	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	p34.2
ENSG00000127423	AUNIP	aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:HGNC:28363]	p36.11
ENSG00000127463	EMC1	ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957]	p36.13
ENSG00000127472	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	p36.13
ENSG00000127481	UBR4	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	p36.13
ENSG00000127483	HP1BP3	heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	p36.12
ENSG00000127603	MACF1	microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	p34.3
ENSG00000130508	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	p25.3
ENSG00000130695	CEP85	centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309]	p36.11
ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]	p36.32
ENSG00000130764	LRRC47	leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]	p36.32
ENSG00000130766	SESN2	sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746]	p35.3
ENSG00000130768	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]	p35.3
